date,price
2017-03-11 04:00:00,8.31
2017-03-11 04:06:00,8.3
2017-03-11 04:12:00,8.29
2017-03-11 04:18:00,8.28
2017-03-11 04:24:00,8.28
2017-03-11 04:30:00,8.27
2017-03-11 04:36:00,8.27
2017-03-11 04:42:00,8.23
2017-03-11 04:48:00,8.21
2017-03-11 04:54:00,8.19
2017-03-11 05:00:00,8.23
2017-03-11 05:06:00,8.22
2017-03-11 05:12:00,8.19
2017-03-11 05:18:00,8.19
2017-03-11 05:24:00,8.14
2017-03-11 05:30:00,8.15
2017-03-11 05:36:00,8.12
2017-03-11 05:42:00,8.09
2017-03-11 05:48:00,8.1
2017-03-11 05:54:00,8.07
2017-03-11 06:00:00,8.07
2017-03-11 06:06:00,8.05
2017-03-11 06:12:00,8.03
2017-03-11 06:18:00,7.99
2017-03-11 06:24:00,7.97
2017-03-11 06:30:00,7.96
2017-03-11 06:36:00,7.93
2017-03-11 06:42:00,7.92
2017-03-11 06:48:00,7.91
2017-03-11 06:54:00,7.9
2017-03-11 07:00:00,7.9
2017-03-11 07:06:00,7.88
2017-03-11 07:12:00,7.87
2017-03-11 07:18:00,7.88
2017-03-11 07:24:00,7.87
2017-03-11 07:30:00,7.86
2017-03-11 07:36:00,7.85
2017-03-11 07:42:00,7.84
2017-03-11 07:48:00,7.83
2017-03-11 07:54:00,7.81
2017-03-11 08:00:00,7.8
2017-03-11 08:06:00,7.79
2017-03-11 08:12:00,7.79
2017-03-11 08:18:00,7.77
2017-03-11 08:24:00,7.77
2017-03-11 08:30:00,7.76
2017-03-11 08:36:00,7.74
2017-03-11 08:42:00,7.74
2017-03-11 08:48:00,7.73
2017-03-11 08:54:00,7.74
2017-03-11 09:00:00,7.73
2017-03-11 09:06:00,7.73
2017-03-11 09:12:00,7.71
2017-03-11 09:18:00,7.67
2017-03-11 09:24:00,7.69
2017-03-11 09:30:00,7.68
2017-03-11 09:36:00,7.67
2017-03-11 09:42:00,7.65
2017-03-11 09:48:00,7.62
2017-03-11 09:54:00,7.59
2017-03-11 10:00:00,7.71
2017-03-11 10:06:00,7.81
2017-03-11 10:12:00,7.89
2017-03-11 10:18:00,7.89
2017-03-11 10:24:00,7.91
2017-03-11 10:30:00,7.93
2017-03-11 10:36:00,7.91
2017-03-11 10:42:00,7.89
2017-03-11 10:48:00,7.87
2017-03-11 10:54:00,7.85
2017-03-11 11:00:00,7.85
2017-03-11 11:06:00,7.87
2017-03-11 11:12:00,7.91
2017-03-11 11:18:00,7.92
2017-03-11 11:24:00,7.99
2017-03-11 11:30:00,8.03
2017-03-11 11:36:00,8.07
2017-03-11 11:42:00,8.07
2017-03-11 11:48:00,8.1
2017-03-11 11:54:00,8.11
2017-03-11 12:00:00,8.11
2017-03-11 12:06:00,8.1
2017-03-11 12:12:00,8.07
2017-03-11 12:18:00,8.11
2017-03-11 12:24:00,8.14
2017-03-11 12:30:00,8.11
2017-03-11 12:36:00,8.1
2017-03-11 12:42:00,8.1
2017-03-11 12:48:00,8.1
2017-03-11 12:54:00,8.12
2017-03-11 13:00:00,8.14
2017-03-11 13:06:00,8.16
2017-03-11 13:12:00,8.18
2017-03-11 13:18:00,8.25
2017-03-11 13:24:00,8.25
