Timestamp,Temperature,Specific Conductivity,Conductivity,Salinity,Dissolved Oxygen,Dissolved Oxygen 2,Pressure,Depth,pH,Turbidity,Chlorophyll,Chlorophyll 2,BGA-PE,BGA-PE 2,FDOM,FDOM 2,Battery,Bat,Site
2017-03-11 04:00:00,8.31,19.02,12.96,11.26,105.6,11.54,1.52,1.06,8.55,3.72,8.7,32.5,17.7,41,4.8,17.97,6.4,NA,SERC
2017-03-11 04:06:00,8.3,19.01,12.95,11.26,105.4,11.52,1.52,1.06,8.55,3.51,8.6,31.9,18.4,42,4.8,17.83,6.4,NA,SERC
2017-03-11 04:12:00,8.29,19.01,12.94,11.26,105.4,11.52,1.53,1.06,8.55,3.76,11,40.9,21.7,52,4.8,17.94,6.4,NA,SERC
2017-03-11 04:18:00,8.28,19.01,12.94,11.26,105.1,11.49,1.53,1.06,8.55,3.97,9,33.5,18.4,43,4.8,17.96,6.4,NA,SERC
2017-03-11 04:24:00,8.28,19.01,12.94,11.25,104.6,11.44,1.53,1.07,8.54,4.26,8.7,32.5,17.8,41,4.8,17.9,6.4,NA,SERC
2017-03-11 04:30:00,8.27,19,12.93,11.25,104.2,11.39,1.53,1.07,8.54,5.85,10.8,40.3,22.8,56,4.8,17.93,6.4,NA,SERC
2017-03-11 04:36:00,8.27,19.01,12.93,11.25,104.1,11.38,1.54,1.07,8.54,5.48,9,33.3,17.6,40,4.9,18,6.4,NA,SERC
2017-03-11 04:42:00,8.23,19,12.92,11.25,103.6,11.34,1.54,1.07,8.53,5.87,8.6,32.2,19.7,46,4.7,17.57,6.4,NA,SERC
2017-03-11 04:48:00,8.21,19,12.91,11.25,103.4,11.33,1.54,1.07,8.53,4.91,8.9,33,17.6,40,4.8,17.73,6.4,NA,SERC
2017-03-11 04:54:00,8.19,19,12.9,11.25,103.1,11.3,1.54,1.07,8.52,5.07,8.5,31.7,16.9,38,4.8,17.95,6.4,NA,SERC
2017-03-11 05:00:00,8.23,19,12.92,11.25,103,11.28,1.54,1.07,8.52,5.95,8.4,31.1,15.3,33,4.9,18.06,6.4,NA,SERC
2017-03-11 05:06:00,8.22,19,12.91,11.25,102.9,11.27,1.54,1.08,8.52,6.29,8.6,32.1,17.6,40,4.9,18,6.4,NA,SERC
2017-03-11 05:12:00,8.19,18.99,12.9,11.24,102.7,11.26,1.55,1.08,8.52,6.37,7.8,29,15.8,35,4.9,18.09,6.4,NA,SERC
2017-03-11 05:18:00,8.19,18.99,12.9,11.24,102.5,11.23,1.55,1.08,8.52,6.24,8.1,30,17.3,39,4.9,18.05,6.4,NA,SERC
2017-03-11 05:24:00,8.14,19,12.88,11.25,102.5,11.25,1.55,1.08,8.51,5.87,9.2,34.2,16.9,38,4.8,17.92,6.4,NA,SERC
2017-03-11 05:30:00,8.15,18.99,12.88,11.24,102.3,11.22,1.55,1.08,8.51,5.05,8.7,32.3,17.8,41,4.8,17.88,6.4,NA,SERC
